[pilot0] === continuing pilot 0 from step 100 to 7600 ===
[pilot0] pilot 0 step    100  loss=0.8802  val_acc={1: 1.0, 2: 1.0, 3: 1.0}
[pilot0] pilot 0 step    200  loss=1.1952  val_acc={1: 1.0, 2: 1.0, 3: 1.0}
[pilot0] pilot 0 step    300  loss=1.8578  val_acc={1: 1.0, 2: 0.992, 3: 0.992}
[pilot0] pilot 0 step    400  loss=0.7071  val_acc={1: 1.0, 2: 0.914, 3: 0.875}
[pilot0] pilot 0 step    500  loss=0.9721  val_acc={1: 1.0, 2: 0.766, 3: 0.719}
[pilot0] pilot 0 step    600  loss=1.3130  val_acc={1: 1.0, 2: 0.656, 3: 0.602}
[pilot0] pilot 0 step    700  loss=0.7157  val_acc={1: 1.0, 2: 0.664, 3: 0.625}
[pilot0] pilot 0 step    800  loss=0.8805  val_acc={1: 1.0, 2: 0.586, 3: 0.625}
[pilot0] pilot 0 step    900  loss=1.1137  val_acc={1: 1.0, 2: 0.656, 3: 0.688}
[pilot0] pilot 0 step   1000  loss=0.6968  val_acc={1: 1.0, 2: 0.586, 3: 0.641}
[pilot0] pilot 0 step   1100  loss=0.8416  val_acc={1: 1.0, 2: 0.586, 3: 0.633}
[pilot0] pilot 0 step   1200  loss=0.9634  val_acc={1: 1.0, 2: 0.562, 3: 0.609}
[pilot0] pilot 0 step   1300  loss=0.6876  val_acc={1: 1.0, 2: 0.641, 3: 0.633}
[pilot0] pilot 0 step   1400  loss=0.8132  val_acc={1: 1.0, 2: 0.609, 3: 0.648}
[pilot0] pilot 0 step   1500  loss=0.9082  val_acc={1: 1.0, 2: 0.555, 3: 0.602}
[pilot0] pilot 0 step   1600  loss=0.6792  val_acc={1: 1.0, 2: 0.594, 3: 0.609}
[pilot0] pilot 0 step   1700  loss=0.8026  val_acc={1: 1.0, 2: 0.57, 3: 0.602}
[pilot0] pilot 0 step   1800  loss=0.8847  val_acc={1: 1.0, 2: 0.578, 3: 0.695}
[pilot0] pilot 0 step   1900  loss=0.6815  val_acc={1: 1.0, 2: 0.609, 3: 0.625}
[pilot0] pilot 0 step   2000  loss=0.7862  val_acc={1: 1.0, 2: 0.562, 3: 0.641}
[pilot0] pilot 0 step   2100  loss=0.8601  val_acc={1: 1.0, 2: 0.594, 3: 0.594}
[pilot0] pilot 0 step   2200  loss=0.6744  val_acc={1: 1.0, 2: 0.633, 3: 0.602}
[pilot0] pilot 0 step   2300  loss=0.7813  val_acc={1: 1.0, 2: 0.633, 3: 0.547}
[pilot0] pilot 0 step   2400  loss=0.8319  val_acc={1: 1.0, 2: 0.609, 3: 0.578}
[pilot0] pilot 0 step   2500  loss=0.6678  val_acc={1: 1.0, 2: 0.617, 3: 0.57}
[pilot0] pilot 0 step   2600  loss=0.7631  val_acc={1: 1.0, 2: 0.641, 3: 0.547}
[pilot0] pilot 0 step   2700  loss=0.8289  val_acc={1: 1.0, 2: 0.656, 3: 0.602}
[pilot0] pilot 0 step   2800  loss=0.6802  val_acc={1: 1.0, 2: 0.688, 3: 0.625}
[pilot0] pilot 0 step   2900  loss=0.7724  val_acc={1: 1.0, 2: 0.648, 3: 0.578}
