[real_seed1] === real seed 1, Regime 1 (arms=('A', 'D')), rank=36, budget=102400 steps ===
[real_seed1] === pilot 1 start, rank=36, params=67625, cosine LR 0.003->3e-05 over 102400 steps, no early stopping ===
[real_seed1] pilot 1 step   4100  lr=2.99e-03  loss=0.8284  val_acc={1: 1.0, 2: 0.93, 3: 0.773}  elapsed=351s  
[real_seed1] pilot 1 step   4200  lr=2.99e-03  loss=0.7364  val_acc={1: 1.0, 2: 0.844, 3: 0.766}  elapsed=360s  
[real_seed1] pilot 1 step   4300  lr=2.99e-03  loss=0.8690  val_acc={1: 1.0, 2: 0.836, 3: 0.758}  elapsed=369s  
[real_seed1] pilot 1 step   4400  lr=2.99e-03  loss=0.8310  val_acc={1: 1.0, 2: 0.906, 3: 0.781}  elapsed=379s  
[real_seed1] pilot 1 step   4500  lr=2.99e-03  loss=0.7262  val_acc={1: 1.0, 2: 0.891, 3: 0.781}  elapsed=386s  
[real_seed1] pilot 1 step   4600  lr=2.99e-03  loss=0.8625  val_acc={1: 1.0, 2: 0.883, 3: 0.812}  elapsed=396s  
[real_seed1] pilot 1 step   4700  lr=2.98e-03  loss=0.8311  val_acc={1: 1.0, 2: 0.875, 3: 0.797}  elapsed=405s  
[real_seed1] pilot 1 step   4800  lr=2.98e-03  loss=0.7286  val_acc={1: 1.0, 2: 0.906, 3: 0.828}  elapsed=413s  
[real_seed1] pilot 1 step   4900  lr=2.98e-03  loss=0.8697  val_acc={1: 1.0, 2: 0.914, 3: 0.836}  elapsed=421s  
[real_seed1] pilot 1 step   5000  lr=2.98e-03  loss=0.8216  val_acc={1: 1.0, 2: 0.922, 3: 0.844}  elapsed=429s  
[real_seed1] pilot 1 step   5100  lr=2.98e-03  loss=0.7416  val_acc={1: 1.0, 2: 0.914, 3: 0.875}  elapsed=438s  
[real_seed1] pilot 1 step   5200  lr=2.98e-03  loss=0.8606  val_acc={1: 1.0, 2: 0.875, 3: 0.844}  elapsed=447s  
