[real_seed_r2_0] === real seed 0, Regime 2 (arms=('A', 'B1', 'B2', 'C', 'D')), rank=36, budget=102400 steps ===
[real_seed_r2_0] === pilot 0 start, rank=36, params=67625, cosine LR 0.003->3e-05 over 102400 steps, no early stopping ===
[real_seed_r2_0] pilot 0 step      0  lr=3.00e-03  loss=7.9959  val_acc={1: 0.086, 2: 0.0, 3: 0.0}  elapsed=3s    abstain_loss=0.6535  abstain_class_balance=0.000  abstain_head_acc=0.750
[real_seed_r2_0] pilot 0 step    100  lr=3.00e-03  loss=3.7599  val_acc={1: 1.0, 2: 1.0, 3: 0.969}  elapsed=11s  PASS  abstain_loss=0.6026  abstain_class_balance=0.000  abstain_head_acc=0.672
[real_seed_r2_0] pilot 0 step    200  lr=3.00e-03  loss=1.6206  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=19s  PASS  abstain_loss=0.1163  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_0] pilot 0 step    300  lr=3.00e-03  loss=0.9403  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=27s  PASS  abstain_loss=0.0196  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_0] pilot 0 step    400  lr=3.00e-03  loss=1.9803  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=35s  PASS  abstain_loss=0.0059  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_0] pilot 0 step    500  lr=3.00e-03  loss=1.1505  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=43s  PASS  abstain_loss=0.0109  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_0] pilot 0 step    600  lr=3.00e-03  loss=1.3874  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=50s  PASS  abstain_loss=0.3088  abstain_class_balance=0.000  abstain_head_acc=0.859
[real_seed_r2_0] pilot 0 step    700  lr=3.00e-03  loss=1.7202  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=57s  PASS  abstain_loss=0.0002  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_0] pilot 0 step    800  lr=3.00e-03  loss=1.0740  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=66s  PASS  abstain_loss=0.0048  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_0] pilot 0 step    900  lr=3.00e-03  loss=0.8049  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=75s  PASS  abstain_loss=0.0075  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_0] pilot 0 step   1000  lr=3.00e-03  loss=1.3701  val_acc={1: 1.0, 2: 1.0, 3: 0.953}  elapsed=83s  PASS  abstain_loss=0.0003  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_0] pilot 0 step   1100  lr=3.00e-03  loss=0.9773  val_acc={1: 1.0, 2: 1.0, 3: 0.898}  elapsed=92s    abstain_loss=0.0078  abstain_class_balance=0.000  abstain_head_acc=1.000
