[real_seed_r2_1] === real seed 1, Regime 2 (arms=('A', 'B1', 'B2', 'C', 'D')), rank=36, budget=102400 steps ===
[real_seed_r2_1] === pilot 1 start, rank=36, params=67625, cosine LR 0.003->3e-05 over 102400 steps, no early stopping ===
[real_seed_r2_1] pilot 1 step      0  lr=3.00e-03  loss=8.0643  val_acc={1: 0.125, 2: 0.0, 3: 0.0}  elapsed=2s    abstain_loss=0.6809  abstain_class_balance=0.000  abstain_head_acc=0.531
[real_seed_r2_1] pilot 1 step    100  lr=3.00e-03  loss=3.0799  val_acc={1: 1.0, 2: 1.0, 3: 0.977}  elapsed=11s  PASS  abstain_loss=0.5332  abstain_class_balance=0.000  abstain_head_acc=0.734
[real_seed_r2_1] pilot 1 step    200  lr=3.00e-03  loss=1.4139  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=19s  PASS  abstain_loss=0.1122  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_1] pilot 1 step    300  lr=3.00e-03  loss=0.9418  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=26s  PASS  abstain_loss=0.0242  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_1] pilot 1 step    400  lr=3.00e-03  loss=1.5878  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=34s  PASS  abstain_loss=0.0039  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_1] pilot 1 step    500  lr=3.00e-03  loss=1.5359  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=42s  PASS  abstain_loss=0.3567  abstain_class_balance=0.000  abstain_head_acc=0.891
[real_seed_r2_1] pilot 1 step    600  lr=3.00e-03  loss=1.0096  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=50s  PASS  abstain_loss=0.0278  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_1] pilot 1 step    700  lr=3.00e-03  loss=1.4016  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=60s  PASS  abstain_loss=0.0003  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_1] pilot 1 step    800  lr=3.00e-03  loss=1.0224  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=67s  PASS  abstain_loss=0.0082  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_1] pilot 1 step    900  lr=3.00e-03  loss=0.8152  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=76s  PASS  abstain_loss=0.0100  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_1] pilot 1 step   1000  lr=3.00e-03  loss=1.2023  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=84s  PASS  abstain_loss=0.0002  abstain_class_balance=0.000  abstain_head_acc=1.000
