[real_seed0] === real seed 0, Regime 1 (arms=('A', 'D')), rank=36, budget=102400 steps ===
[real_seed0] === pilot 0 start, rank=36, params=67112, cosine LR 0.003->3e-05 over 102400 steps, no early stopping ===
[real_seed0] pilot 0 step      0  lr=3.00e-03  loss=7.3425  val_acc={1: 0.094, 2: 0.0, 3: 0.0}  elapsed=3s  
[real_seed0] pilot 0 step    100  lr=3.00e-03  loss=2.9489  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=9s  PASS
[real_seed0] pilot 0 step    200  lr=3.00e-03  loss=1.3662  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=16s  PASS
[real_seed0] pilot 0 step    300  lr=3.00e-03  loss=0.8555  val_acc={1: 1.0, 2: 0.984, 3: 0.969}  elapsed=22s  PASS
[real_seed0] pilot 0 step    400  lr=3.00e-03  loss=1.8152  val_acc={1: 1.0, 2: 0.82, 3: 0.797}  elapsed=29s  
[real_seed0] pilot 0 step    500  lr=3.00e-03  loss=1.0803  val_acc={1: 1.0, 2: 0.758, 3: 0.719}  elapsed=36s  
[real_seed0] pilot 0 step    600  lr=3.00e-03  loss=0.8078  val_acc={1: 1.0, 2: 0.664, 3: 0.734}  elapsed=42s  
[real_seed0] pilot 0 step    700  lr=3.00e-03  loss=1.4064  val_acc={1: 1.0, 2: 0.633, 3: 0.57}  elapsed=50s  
[real_seed0] pilot 0 step    800  lr=3.00e-03  loss=0.9651  val_acc={1: 1.0, 2: 0.625, 3: 0.523}  elapsed=57s  
[real_seed0] pilot 0 step    900  lr=3.00e-03  loss=0.7673  val_acc={1: 1.0, 2: 0.594, 3: 0.516}  elapsed=65s  
[real_seed0] pilot 0 step   1000  lr=3.00e-03  loss=1.1873  val_acc={1: 1.0, 2: 0.625, 3: 0.586}  elapsed=72s  
[real_seed0] pilot 0 step   1100  lr=3.00e-03  loss=0.9087  val_acc={1: 1.0, 2: 0.594, 3: 0.57}  elapsed=80s  
[real_seed0] pilot 0 step   1200  lr=3.00e-03  loss=0.7506  val_acc={1: 1.0, 2: 0.602, 3: 0.633}  elapsed=87s  
[real_seed0] pilot 0 step   1300  lr=3.00e-03  loss=1.0658  val_acc={1: 1.0, 2: 0.672, 3: 0.602}  elapsed=94s  
[real_seed0] pilot 0 step   1400  lr=3.00e-03  loss=0.8959  val_acc={1: 1.0, 2: 0.602, 3: 0.602}  elapsed=102s  
[real_seed0] pilot 0 step   1500  lr=3.00e-03  loss=0.7555  val_acc={1: 1.0, 2: 0.656, 3: 0.625}  elapsed=109s  
[real_seed0] pilot 0 step   1600  lr=3.00e-03  loss=0.9960  val_acc={1: 1.0, 2: 0.617, 3: 0.516}  elapsed=116s  
[real_seed0] pilot 0 step   1700  lr=3.00e-03  loss=0.8684  val_acc={1: 1.0, 2: 0.609, 3: 0.445}  elapsed=123s  
[real_seed0] pilot 0 step   1800  lr=3.00e-03  loss=0.7415  val_acc={1: 1.0, 2: 0.664, 3: 0.5}  elapsed=130s  
[real_seed0] pilot 0 step   1900  lr=3.00e-03  loss=0.9612  val_acc={1: 1.0, 2: 0.617, 3: 0.508}  elapsed=137s  
[real_seed0] pilot 0 step   2000  lr=3.00e-03  loss=0.8559  val_acc={1: 1.0, 2: 0.602, 3: 0.461}  elapsed=144s  
[real_seed0] pilot 0 step   2100  lr=3.00e-03  loss=0.7465  val_acc={1: 1.0, 2: 0.625, 3: 0.469}  elapsed=153s  
[real_seed0] pilot 0 step   2200  lr=3.00e-03  loss=0.9306  val_acc={1: 1.0, 2: 0.609, 3: 0.477}  elapsed=160s  
[real_seed0] pilot 0 step   2300  lr=3.00e-03  loss=0.8466  val_acc={1: 1.0, 2: 0.664, 3: 0.562}  elapsed=167s  
[real_seed0] pilot 0 step   2400  lr=3.00e-03  loss=0.7522  val_acc={1: 1.0, 2: 0.617, 3: 0.516}  elapsed=174s  
[real_seed0] pilot 0 step   2500  lr=3.00e-03  loss=0.9180  val_acc={1: 1.0, 2: 0.672, 3: 0.484}  elapsed=181s  
[real_seed0] pilot 0 step   2600  lr=3.00e-03  loss=0.8353  val_acc={1: 1.0, 2: 0.664, 3: 0.508}  elapsed=189s  
[real_seed0] pilot 0 step   2700  lr=2.99e-03  loss=0.7359  val_acc={1: 1.0, 2: 0.672, 3: 0.461}  elapsed=196s  
[real_seed0] pilot 0 step   2800  lr=2.99e-03  loss=0.8968  val_acc={1: 1.0, 2: 0.664, 3: 0.453}  elapsed=203s  
[real_seed0] pilot 0 step   2900  lr=2.99e-03  loss=0.8360  val_acc={1: 1.0, 2: 0.695, 3: 0.531}  elapsed=210s  
[real_seed0] pilot 0 step   3000  lr=2.99e-03  loss=0.7338  val_acc={1: 1.0, 2: 0.688, 3: 0.547}  elapsed=218s  
[real_seed0] pilot 0 step   3100  lr=2.99e-03  loss=0.9062  val_acc={1: 1.0, 2: 0.688, 3: 0.484}  elapsed=226s  
[real_seed0] pilot 0 step   3200  lr=2.99e-03  loss=0.8427  val_acc={1: 1.0, 2: 0.656, 3: 0.5}  elapsed=232s  
[real_seed0] pilot 0 step   3300  lr=2.99e-03  loss=0.7290  val_acc={1: 1.0, 2: 0.703, 3: 0.547}  elapsed=241s  
[real_seed0] pilot 0 step   3400  lr=2.99e-03  loss=0.8920  val_acc={1: 1.0, 2: 0.695, 3: 0.539}  elapsed=248s  
