[real_seed2] === real seed 2, Regime 1 (arms=('A', 'D')), rank=36, budget=102400 steps ===
[real_seed2] === pilot 2 start, rank=36, params=67625, cosine LR 0.003->3e-05 over 102400 steps, no early stopping ===
[real_seed2] pilot 2 step      0  lr=3.00e-03  loss=7.6590  val_acc={1: 0.086, 2: 0.0, 3: 0.0}  elapsed=2s  
[real_seed2] pilot 2 step    100  lr=3.00e-03  loss=3.1370  val_acc={1: 1.0, 2: 0.898, 3: 0.703}  elapsed=12s  
[real_seed2] pilot 2 step    200  lr=3.00e-03  loss=1.3171  val_acc={1: 1.0, 2: 0.719, 3: 0.773}  elapsed=20s  
[real_seed2] pilot 2 step    300  lr=3.00e-03  loss=0.8572  val_acc={1: 1.0, 2: 0.75, 3: 0.75}  elapsed=28s  
[real_seed2] pilot 2 step    400  lr=3.00e-03  loss=1.7517  val_acc={1: 1.0, 2: 0.703, 3: 0.633}  elapsed=36s  
[real_seed2] pilot 2 step    500  lr=3.00e-03  loss=1.0657  val_acc={1: 1.0, 2: 0.734, 3: 0.648}  elapsed=43s  
[real_seed2] pilot 2 step    600  lr=3.00e-03  loss=0.7941  val_acc={1: 1.0, 2: 0.727, 3: 0.594}  elapsed=50s  
[real_seed2] pilot 2 step    700  lr=3.00e-03  loss=1.3844  val_acc={1: 1.0, 2: 0.727, 3: 0.609}  elapsed=58s  
[real_seed2] pilot 2 step    800  lr=3.00e-03  loss=0.9643  val_acc={1: 1.0, 2: 0.695, 3: 0.539}  elapsed=66s  
[real_seed2] pilot 2 step    900  lr=3.00e-03  loss=0.7612  val_acc={1: 1.0, 2: 0.688, 3: 0.578}  elapsed=76s  
[real_seed2] pilot 2 step   1000  lr=3.00e-03  loss=1.1593  val_acc={1: 1.0, 2: 0.711, 3: 0.523}  elapsed=84s  
[real_seed2] pilot 2 step   1100  lr=3.00e-03  loss=0.9147  val_acc={1: 1.0, 2: 0.68, 3: 0.531}  elapsed=92s  
[real_seed2] pilot 2 step   1200  lr=3.00e-03  loss=0.7528  val_acc={1: 1.0, 2: 0.641, 3: 0.562}  elapsed=101s  
[real_seed2] pilot 2 step   1300  lr=3.00e-03  loss=1.0375  val_acc={1: 1.0, 2: 0.648, 3: 0.562}  elapsed=109s  
[real_seed2] pilot 2 step   1400  lr=3.00e-03  loss=0.8704  val_acc={1: 1.0, 2: 0.602, 3: 0.531}  elapsed=118s  
[real_seed2] pilot 2 step   1500  lr=3.00e-03  loss=0.7622  val_acc={1: 1.0, 2: 0.648, 3: 0.523}  elapsed=126s  
[real_seed2] pilot 2 step   1600  lr=3.00e-03  loss=0.9794  val_acc={1: 1.0, 2: 0.68, 3: 0.531}  elapsed=134s  
[real_seed2] pilot 2 step   1700  lr=3.00e-03  loss=0.8698  val_acc={1: 1.0, 2: 0.633, 3: 0.523}  elapsed=144s  
[real_seed2] pilot 2 step   1800  lr=3.00e-03  loss=0.7492  val_acc={1: 1.0, 2: 0.648, 3: 0.5}  elapsed=154s  
[real_seed2] pilot 2 step   1900  lr=3.00e-03  loss=0.9545  val_acc={1: 1.0, 2: 0.695, 3: 0.484}  elapsed=161s  
[real_seed2] pilot 2 step   2000  lr=3.00e-03  loss=0.8627  val_acc={1: 1.0, 2: 0.719, 3: 0.469}  elapsed=173s  
