[pilot1] === pilot 1 start, params=79108, cosine LR 0.003->3e-05 over 30000 steps, no early stopping ===
[pilot1] pilot 1 step   4200  lr=2.86e-03  loss=0.6806  val_acc={1: 1.0, 2: 0.883, 3: 0.766}  elapsed=3409s  
[pilot1] pilot 1 step   4300  lr=2.85e-03  loss=0.7616  val_acc={1: 1.0, 2: 0.945, 3: 0.805}  elapsed=3490s  
[pilot1] pilot 1 step   4400  lr=2.85e-03  loss=0.7957  val_acc={1: 1.0, 2: 0.875, 3: 0.727}  elapsed=3571s  
[pilot1] pilot 1 step   4500  lr=2.84e-03  loss=0.6666  val_acc={1: 1.0, 2: 0.891, 3: 0.797}  elapsed=3654s  
[pilot1] pilot 1 step   4600  lr=2.83e-03  loss=0.7565  val_acc={1: 1.0, 2: 0.891, 3: 0.812}  elapsed=3736s  
[pilot1] pilot 1 step   4700  lr=2.82e-03  loss=0.7974  val_acc={1: 1.0, 2: 0.875, 3: 0.812}  elapsed=3817s  
[pilot1] pilot 1 step   4800  lr=2.82e-03  loss=0.6826  val_acc={1: 1.0, 2: 0.875, 3: 0.852}  elapsed=3897s  
[pilot1] pilot 1 step   4900  lr=2.81e-03  loss=0.7553  val_acc={1: 1.0, 2: 0.93, 3: 0.82}  elapsed=3979s  
[pilot1] pilot 1 step   5000  lr=2.80e-03  loss=0.7919  val_acc={1: 1.0, 2: 0.867, 3: 0.82}  elapsed=4060s  
[pilot1] pilot 1 step   5100  lr=2.79e-03  loss=0.6812  val_acc={1: 1.0, 2: 0.938, 3: 0.891}  elapsed=4140s  
[pilot1] pilot 1 step   5200  lr=2.79e-03  loss=0.7669  val_acc={1: 1.0, 2: 0.93, 3: 0.828}  elapsed=4224s  
[pilot1] pilot 1 step   5300  lr=2.78e-03  loss=0.7976  val_acc={1: 1.0, 2: 0.898, 3: 0.859}  elapsed=4306s  
[pilot1] pilot 1 step   5400  lr=2.77e-03  loss=0.6830  val_acc={1: 1.0, 2: 0.906, 3: 0.852}  elapsed=4387s  
[pilot1] pilot 1 step   5500  lr=2.76e-03  loss=0.7565  val_acc={1: 1.0, 2: 0.914, 3: 0.891}  elapsed=4469s  
[pilot1] pilot 1 step   5600  lr=2.75e-03  loss=0.7918  val_acc={1: 1.0, 2: 0.859, 3: 0.844}  elapsed=4550s  
[pilot1] pilot 1 step   5700  lr=2.74e-03  loss=0.6659  val_acc={1: 1.0, 2: 0.969, 3: 0.898}  elapsed=4632s  
[pilot1] pilot 1 step   5800  lr=2.73e-03  loss=0.7648  val_acc={1: 1.0, 2: 0.953, 3: 0.922}  elapsed=4712s  
[pilot1] pilot 1 step   5900  lr=2.73e-03  loss=0.7968  val_acc={1: 1.0, 2: 0.93, 3: 0.93}  elapsed=4792s  
[pilot1] pilot 1 step   6000  lr=2.72e-03  loss=0.6688  val_acc={1: 1.0, 2: 0.938, 3: 0.891}  elapsed=4873s  
[pilot1] pilot 1 step   6100  lr=2.71e-03  loss=0.7625  val_acc={1: 1.0, 2: 0.906, 3: 0.914}  elapsed=4954s  
[pilot1] pilot 1 step   6200  lr=2.70e-03  loss=0.7893  val_acc={1: 1.0, 2: 0.953, 3: 0.906}  elapsed=5034s  
[pilot1] pilot 1 step   6300  lr=2.69e-03  loss=0.6566  val_acc={1: 1.0, 2: 0.969, 3: 0.922}  elapsed=5114s  
[pilot1] pilot 1 step   6400  lr=2.68e-03  loss=0.7587  val_acc={1: 1.0, 2: 0.984, 3: 0.938}  elapsed=5194s  
[pilot1] pilot 1 step   6500  lr=2.67e-03  loss=0.7910  val_acc={1: 1.0, 2: 0.906, 3: 0.898}  elapsed=5276s  
[pilot1] pilot 1 step   6600  lr=2.66e-03  loss=0.6644  val_acc={1: 1.0, 2: 0.977, 3: 0.961}  elapsed=5356s  PASS
[pilot1] pilot 1 step   6700  lr=2.65e-03  loss=0.7537  val_acc={1: 1.0, 2: 0.969, 3: 0.938}  elapsed=5437s  
[pilot1] pilot 1 step   6800  lr=2.64e-03  loss=0.7860  val_acc={1: 1.0, 2: 0.953, 3: 0.945}  elapsed=5518s  
[pilot1] pilot 1 step   6900  lr=2.63e-03  loss=0.6588  val_acc={1: 1.0, 2: 0.961, 3: 0.953}  elapsed=5600s  PASS
[pilot1] pilot 1 step   7000  lr=2.62e-03  loss=0.7660  val_acc={1: 1.0, 2: 0.992, 3: 0.93}  elapsed=5681s  
[pilot1] pilot 1 step   7100  lr=2.61e-03  loss=0.7904  val_acc={1: 1.0, 2: 0.961, 3: 0.984}  elapsed=5762s  PASS
[pilot1] pilot 1 step   7200  lr=2.60e-03  loss=0.6618  val_acc={1: 1.0, 2: 0.992, 3: 0.992}  elapsed=5844s  PASS
[pilot1] pilot 1 step   7300  lr=2.59e-03  loss=0.7625  val_acc={1: 1.0, 2: 0.984, 3: 0.977}  elapsed=5924s  PASS
[pilot1] pilot 1 step   7400  lr=2.58e-03  loss=0.7798  val_acc={1: 1.0, 2: 0.992, 3: 0.953}  elapsed=6005s  PASS
[pilot1] pilot 1 step   7500  lr=2.57e-03  loss=0.6712  val_acc={1: 1.0, 2: 0.984, 3: 0.984}  elapsed=6085s  PASS
[pilot1] pilot 1 step   7600  lr=2.55e-03  loss=0.7503  val_acc={1: 1.0, 2: 0.977, 3: 0.977}  elapsed=6167s  PASS
[pilot1] pilot 1 step   7700  lr=2.54e-03  loss=0.7883  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=6249s  PASS
[pilot1] pilot 1 step   7800  lr=2.53e-03  loss=0.6722  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=6330s  PASS
[pilot1] pilot 1 step   7900  lr=2.52e-03  loss=0.7505  val_acc={1: 1.0, 2: 0.984, 3: 0.992}  elapsed=6412s  PASS
[pilot1] pilot 1 step   8000  lr=2.51e-03  loss=0.7889  val_acc={1: 1.0, 2: 0.953, 3: 0.984}  elapsed=6494s  PASS
[pilot1] pilot 1 step   8100  lr=2.50e-03  loss=0.6692  val_acc={1: 1.0, 2: 1.0, 3: 0.984}  elapsed=6575s  PASS
[pilot1] pilot 1 step   8200  lr=2.49e-03  loss=0.7533  val_acc={1: 1.0, 2: 0.992, 3: 0.977}  elapsed=6656s  PASS
[pilot1] pilot 1 step   8300  lr=2.47e-03  loss=0.7769  val_acc={1: 1.0, 2: 0.977, 3: 0.953}  elapsed=6738s  PASS
[pilot1] pilot 1 step   8400  lr=2.46e-03  loss=0.6549  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=6818s  PASS
[pilot1] pilot 1 step   8500  lr=2.45e-03  loss=0.7629  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=6899s  PASS
[pilot1] pilot 1 step   8600  lr=2.44e-03  loss=0.7794  val_acc={1: 1.0, 2: 0.953, 3: 0.961}  elapsed=6982s  PASS
[pilot1] pilot 1 step   8700  lr=2.43e-03  loss=0.6640  val_acc={1: 1.0, 2: 0.977, 3: 0.977}  elapsed=7063s  PASS
[pilot1] pilot 1 step   8800  lr=2.41e-03  loss=0.7534  val_acc={1: 1.0, 2: 0.969, 3: 0.992}  elapsed=7146s  PASS
[pilot1] pilot 1 step   8900  lr=2.40e-03  loss=0.7823  val_acc={1: 1.0, 2: 0.984, 3: 0.984}  elapsed=7226s  PASS
[pilot1] pilot 1 step   9000  lr=2.39e-03  loss=0.6685  val_acc={1: 1.0, 2: 0.992, 3: 0.984}  elapsed=7308s  PASS
[pilot1] pilot 1 step   9100  lr=2.38e-03  loss=0.7515  val_acc={1: 1.0, 2: 1.0, 3: 0.977}  elapsed=7391s  PASS
[pilot1] pilot 1 step   9200  lr=2.36e-03  loss=0.7829  val_acc={1: 1.0, 2: 0.992, 3: 0.992}  elapsed=7472s  PASS
[pilot1] pilot 1 step   9300  lr=2.35e-03  loss=0.6599  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=7554s  PASS
[pilot1] pilot 1 step   9400  lr=2.34e-03  loss=0.7638  val_acc={1: 1.0, 2: 1.0, 3: 0.977}  elapsed=7636s  PASS
