[real_seed_r2_2] === real seed 2, Regime 2 (arms=('A', 'B1', 'B2', 'C', 'D')), rank=36, budget=102400 steps ===
[real_seed_r2_2] pilot 2 step   2600  lr=3.00e-03  loss=0.8657  val_acc={1: 1.0, 2: 1.0, 3: 0.922}  elapsed=212s    abstain_loss=0.0014  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   2700  lr=2.99e-03  loss=0.7562  val_acc={1: 1.0, 2: 1.0, 3: 0.922}  elapsed=220s    abstain_loss=0.0019  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   2800  lr=2.99e-03  loss=0.9381  val_acc={1: 1.0, 2: 1.0, 3: 0.883}  elapsed=228s    abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   2900  lr=2.99e-03  loss=1.4857  val_acc={1: 1.0, 2: 1.0, 3: 0.945}  elapsed=236s    abstain_loss=0.0001  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   3000  lr=2.99e-03  loss=0.9925  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=243s  PASS  abstain_loss=0.0073  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   3100  lr=2.99e-03  loss=1.1167  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=251s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   3200  lr=2.99e-03  loss=0.9851  val_acc={1: 1.0, 2: 1.0, 3: 0.977}  elapsed=257s  PASS  abstain_loss=0.0011  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   3300  lr=2.99e-03  loss=0.8200  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=265s  PASS  abstain_loss=0.0038  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   3400  lr=2.99e-03  loss=1.0275  val_acc={1: 1.0, 2: 1.0, 3: 0.992}  elapsed=276s  PASS  abstain_loss=0.0000  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   3500  lr=2.99e-03  loss=0.9302  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=285s  PASS  abstain_loss=0.0102  abstain_class_balance=0.000  abstain_head_acc=1.000
[real_seed_r2_2] pilot 2 step   3600  lr=2.99e-03  loss=0.8354  val_acc={1: 1.0, 2: 1.0, 3: 1.0}  elapsed=293s  PASS  abstain_loss=0.0117  abstain_class_balance=0.000  abstain_head_acc=1.000
